tokens,tags
7.x-2.0-alpha4,I-version
SoapServlet,O
libssh,B-application
DeDeCMS,B-application
Qualcomm,O
obj_toSource,B-function
5.4.0.5,B-version
Gromacs,B-application
Archive,I-application
src/b64.c,B-file
presses,B-update
Area,O
3.9.9,B-version
10.11.1,I-version
NextBBS,B-application
compositor,O
WinImage,B-application
oc-includes/osclass/model/Category.php,B-file
viewCustomers,O
Progman,O
Infocus,B-application
0.9.18,B-version
Watch,I-application
bar,O
Accounts,I-application
CVE-2009-4083.1,B-cve id
pidgin-otr,B-application
WAGO,B-vendor
rdesktop,B-application
Connections,B-application
converts,O
GoLismero,B-application
policycoreutils,B-application
ext,O
EAP,O
argv,O
owa_do,B-parameter
CVE-2013-3333,B-cve id
1.4.21,B-version
"8.4(2.13),",I-version
1.3.2.3,I-version
multi,O
Whois,B-application
CVE-2013-2428,B-cve id
link,I-application
CVE-2008-5913,B-cve id
Hypermethod,B-vendor
lang_file,B-parameter
Duo,B-application
BreakingPoint,B-hardware
CVE-2011-4885,B-cve id
clearAttributes,O
pFile,B-application
forumread,O
AntDS.exe,O
2010.0,B-version
string.c,B-file
Catalyst,B-hardware
log.h,B-file
ask_chat.php,O
client/bw_per_month.php,B-file
openPlanning,B-application
Shared,O
reuse,O
2.6.36-rc4-git2,I-version
0.2.3.22-rc,I-version
JRE6,I-application
MODx,B-vendor
Security,I-edition
AllWebMenus,B-application
stdio-common/vfprintf.c,B-file
1.15.2,I-version
4.4,B-version
ospf_ls_upd_list_lsa,B-function
preview,B-update
15.1,B-version
Quarantine,O
RLC,O
gfs_lock,B-function
Identity-Based,B-version
png_set_expand,B-function
C.3.x,O
BASE_path,B-parameter
app/config/core.php,B-file
myTouch,B-hardware
"8.0(5.7),",I-version
5.2.11.5,B-version
shipKey,B-parameter
Modern,B-application
atrhandler.c,O
Building,I-application
4.0.2.x,B-version
CSCtd32106,O
6.0.0.4,I-version
Per,O
"8.3(2.29),",I-version
Missing,O
Express,B-version
Passcode,O
SASHA,B-application
admin/configuration.php,B-file
3.10.0,I-version
Cloudera,B-vendor
NuSOAP,B-application
Japan,B-application
iBoutique.MALL,B-application
vteseq.c,B-file
maputil.c,B-file
10.1,I-version
MicroStation,B-application
Persist,O
6.0.0.10,I-version
tenant,O
HCM,I-application
Mailwise,B-application
CVE-2010-2213,B-cve id
"IME),",O
usb-creator,B-application
"OZW772.*,",O
Beaker,B-application
7.6.4.1,I-version
2.5.3602,B-version
rendering/RenderListMarker.cpp,B-file
devise,B-application
SPHERE,B-application
include/classes/tzn_user.php,B-file
1.9.2.1,B-version
SAV,O
CSCua40962,O
Jokes,B-application
admin/blogs.php,B-file
2.1.7,I-version
CVE-2010-4207,B-cve id
upload.cgi,O
arbitray,O
category_list.php,O
4.69,B-version
WeeChat,B-application
app/clipboard/clipboard.cc,B-file
Composer,I-application
1.8.1.3,B-version
ink,O
1.5.20,I-version
360,O
3.3.36822,B-version
3.0.20,B-version
documentation,O
CVSNT,B-application
resend_name,B-parameter
BaseTarget,B-parameter
8.6,I-version
j2k.c,B-file
Networks,B-application
index2.do,O
6.1.3,B-version
CVE-2012-2333,B-cve id
NeoAxis,B-vendor
SphereCMS,B-application
m_stop,B-function
Simploo,B-application
1200,B-version
pango-utils.c,O
HIDPCONNADD,O
iPhone,O
Workload,B-application
1700-24,B-version
wptouch_settings,B-parameter
purple_base64_decode,B-function
USER_FILE,O
change_process_uid,B-function
Gamebase,O
1.3.1_28,B-version
Pecio,B-application
ctl00$MPH$txtPassword,O
rds_rdma_pages,B-function
TextFieldHandler.java,O
Stainless,B-application
attacks,O
mxi,O
api/ice_media.cfc,B-file
check_1_6_dummy,B-function
NetWin,B-vendor
HK);,O
smbind,B-application
M-Business,B-application
phpscripte24,B-vendor
1.65a,B-version
targets,O
PickMaster,B-application
"6.1(1),",I-version
Aura,B-application
CabURL,O
2004Q2,O
page/dir.php,B-file
CVE-2013-2834,B-cve id
checklogin.aspx,O
Barter,B-application
charger,O
-k,B-update
CVE-2012-5085,B-cve id
1.7.3rc2,B-version
In,I-application
tw_consumer_secret,B-parameter
xserver,B-version
addthis,B-application
2.0.0.24,I-version
dana/nc/ncrun.cgi,B-file
ff_ivi_decode_blocks,B-function
walking,O
4.34,I-version
doLoad,B-function
CVE-2011-3383,B-cve id
xmlBufGetInputBase,B-function
detaches,O
libkbb.so,O
e107_admin/newspost.php,B-file
fs/xfs/xfs_acl.c,B-file
fs/namei.c,B-file
CVE-2013-2432,B-cve id
i,I-application
TLVs,O
mod_hfs_apple,O
0.9,I-version
libESMTP,B-application
file-open,O
tabname,O
eSelectPlus,O
represents,O
CCMPlayer,B-application
InterSect,B-vendor
coolaid,O
b2b/admin/log_view.jsp,B-file
7.x-2.2,I-version
10.7.5,I-version
copyin,O
insufficent,O
3.12.4,I-version
9.2.5.x,B-version
Option,I-application
5.x-2.x,B-version
9.5.3,I-version
10,I-update
libraries/phpmailer/language/phpmailer.lang-joomla.php,B-file
OM/Core/Site/Admin/Application/images/pages/main.php,B-file
Ushahidi,B-application
Registry,O
validateuserlogin.asp,O
muinshee,O
Gateway,I-hardware
JavaScriptCore,O
com.sap.ipc.webapp.ipc,O
collectd,B-application
Alert,B-application
NCM,O
1.6.2.2,I-version
Patch,B-application
2007,O
vxveautil.value_binary_unpack,B-function
Select,I-application
ColdUserGroup,B-application
Dojo,B-application
Taxonomy,O
2.10.0,I-version
libcurl,B-application
themes_links,B-function
9.21,B-version
10.3.4.2,B-version
.NET,B-version
3.14.1.2,B-version
Cinder,B-application
Broadcom,B-vendor
download_install,O
Piwik,B-application
2.0.4.8,I-version
3.0.01,B-version
6.x,I-version
ZeroClipboard,B-application
values,O
2.10.9,B-version
KHOBE,O
8.0.552.344,I-version
filter/source/msfilter/msdffimp.cxx,B-file
4.3.11,B-version
8.6(1,I-version
4.10.2,I-version
"testing,""",O
LTTng,B-vendor
edssh_account,B-parameter
redpass.cgi,O
9.10.x,B-version
4.0.14,B-version
CVE-2010-0013,B-cve id
7.4.30,I-version
application/modules/admin/controllers/UserController.php,B-file
data/file/edit.php,B-file
Cyrus,B-vendor
row_id,B-parameter
simplexml_load_string,B-function
1.6.0.x,B-version
21.0.1180.57,I-version
12.5.4,B-version
subpage,O
Mrxsmb.sys,O
abc2ps.c,B-file
MITM,O
Debugger,I-application
20100501,B-version
Multi-Pathing,B-version
ZoneMinder,B-application
6.5.0,B-version
23.0.1271.95,I-version
DER,O
epan/dissectors/packet-sdp.c,B-file
10.50,I-version
A.11.20,B-version
Armor,I-application
8.1.0.27,I-version
Size,O
txtPass,B-parameter
Enable,O
emails,O
3.9.0,B-version
SL,I-hardware
2.8.4,B-version
control/common.php,B-file
PlayURLWithLocalPlayer,B-method
KVG1,O
Chassis,I-hardware
crypto/asn1/a_d2i_fp.c,B-file
CSCtg66583,O
Level,B-application
apps/user_openid/settings.php,B-file
Guest,I-application
10.3.5.0,B-version
LogReceiver.exe,O
class/tools.class.php,B-file
Designer,I-application
GuppY,B-application
1.3.9,I-version
FTP,I-hardware
6.1.0.37,I-version
libvirt-based,O
10.1.3.5,B-version
5.5,B-version
8.0.0.12,B-version
[,O
13.0,I-version
easy,O
Gigya,B-application
DSM,O
PKI,B-application
Openfoncier,B-application
LaunchProcess,B-function
Adaptive,O
com_booklibrary,O
CVE-2013-2380,B-cve id
11.1.102.55,B-version
Comfort,B-version
CVE-2011-1202,B-cve id
Ing,O
learn/cubemail/refresh_dblist.php,B-file
Ktai,B-edition
nedi/html/System-Export.php,B-file
11.03,B-version
yum-rhn-plugin,B-application
disk.c,B-file
mutable,O
madvise_remove,B-function
kdegraphics,B-application
RSSOwl,B-application
pipe_fcntl,B-function
RCA,B-vendor
test/visual_test.php,B-file
4100,I-hardware
JDEdwards,I-application
Traversal,O
Bash,B-application
dismount,O
Python,O
SSDP,O
Services,I-application
policy_summarize,B-function
6.7.2.2033,I-version
tasks/ajax/addtask.php,B-file
Feeds,B-application
include/tool/editing_files.php,B-file
TGM-Newsletter,O
MiCOM,B-application
factory,O
I,I-os
MusicBox,B-application
wysiwyg/fckconfig.js,B-file
Advanced,I-hardware
prerelease,B-update
restarts,O
apt,B-application
6.x-3.10,I-version
TMEMC_SAVE_GET_POOL_UUID,O
8.4.12,I-version
rrobotd.exe,O
5.1.67,B-version
CVE-2012-2051,B-cve id
CVE-2012-5274,B-cve id
7.0.1.9,I-version
7.0u8,B-version
prompt,O
FATTR4_ACL,O
12.00,I-version
4.4.15,I-version
eCompensation,O
CVE-2011-2555,B-cve id
SLC,B-hardware
admin/login.php,B-file
glx/glxcmdsswap.c,B-file
DVD,B-application
9.5,B-version
operations,O
VPN,B-edition
GC_generic_malloc_ignore_off_page,B-function
MobileSafari,O
courses_ID,B-parameter
forName,B-method
1.5.1,I-version
PeopleTools,B-application
2.6.38.1,I-version
Club,O
com_vikrealestate,O
image/view.php,B-file
r37575,I-version
0.6.2,I-version
Buildings,I-application
QuickTrend,I-application
5.15.x,B-version
DeuxEditor,B-application
1.5.2.0,I-version
Ajax,B-version
action/Load.py,B-file
0x8,B-version
boxes,B-application
admin/modules/user/users.php,B-file
peripheral,O
2.3(1.55,I-version
8.49.30,I-version
OpenSolaris,B-os
e1000_receive,B-function
CVE-2012-4162,B-cve id
SP5.2,B-update
Digital,B-application
RTOS,I-os
tDiary,B-application
10.6.2,I-version
Maker,I-application
3.5.8,I-version
WeBid,B-application
admin_colors.asp,O
Express,I-hardware
ContentLion,B-application
do_dump_data,B-function
research,O
Tangerine,B-application
Export,O
CVE-2010-1284,B-cve id
12.4(24)MDA,B-version
MASA2EL,B-vendor
Verkaus,I-application
8.50.11,B-version
Prevent,O
hso_get_count,B-function
4.1.249.1059,I-version
ID,O
OpenSC,B-application
ComputePassword,B-function
Trust,I-application
appropriate,O
11.1.111.24,I-version
PolicyKit,O
Shock.dir,B-file
CVE-2010-0194,B-cve id
Brekeke,B-vendor
insulin,I-hardware
inline_image_upload.php,B-file
Tsurisuta,B-application
OpenPNE,B-application
2.3.4,B-version
Engage,O
big,O
1.5.x,I-version
invscout.rte,B-application
admin/userrighthandling.php,B-file
plugins/system/legacy/html.php,B-file
5.03,I-version
Plugin/meta.pm,B-file
11.0.03,I-version
parse_cgroup_spec,B-function
Wrapping,O
16.0.0.282,I-version
GetWidget,B-method
DirectWrite,O
network/network_server.cpp,B-file
NOSCRIPT,O
Lock,I-application
8012,B-version
5.10.4,B-version
phpShowtime,B-application
3.8.3,B-version
Crafty,B-application
0.8.4,I-version
6.x-1.4,I-version
CVE-2009-5031,B-cve id
lib/puppet/network/authstore.rb,B-file
3.5.3,I-version
customer-extended,O
SLPD,O
surround,O
Master,O
createElement,B-method
"/var/lib/pulp/cache/grinder/,",O
Malware,B-application
8.1.22,I-version
0.9.7.5ubuntu5.2,I-version
Dating,B-application
arch/x86/hvm/vmx/vmcs.c,B-file
FathFTP,B-application
2.35,I-version
sessionsList.jsp,O
11.1.2.2,B-version
1.6.10,B-version
"backslash),",O
postId,B-parameter
select_sort,B-parameter
5.5.33,I-version
"4.0(16),",I-version
admin/code/tce_select_users_popup.php,B-file
CVE-2010-1249,B-cve id
_policy_list.php,O
1.8.11-certx,B-version
Boost,B-vendor
smr_normalize,B-function
getConnection,B-function
1.8.3,I-version
fields[website,O
5.0.4.0,I-version
KLYH8TNNDN,O
Divide,O
Name,O
Gadget,O
Jetpack,B-application
9.8(1)S5,I-version
yaSSL,B-vendor
2.6.34-rc1-next-20100312,I-version
10.3.2,B-version
0.7.x,B-version
r53525,I-version
0.92.8,I-version
Waveset,B-application
CVE-2011-2414,B-cve id
QEMU,B-application
iFIX,O
open_log,B-function
SupportSuite,B-application
ajax/savetag.php,B-file
27.7.1,B-version
FileNet,B-application
Standard,O
7.0(2a)su3,I-version
misconfiguration,O
temp_defunt.class.php,O
CMS,B-application
hotunplug,O
nsXULCommandDispatcher,B-function
Cybozu,B-application
Site,I-application
Touhou,O
1.8.x,B-version
readstr_upto,B-function
checkuser.php,O
OpenManage,B-application
proftpd.gnu.c,O
V-CMS,B-application
0.4.9,I-version
Inference,B-edition
nsDocShell::OnRedirectStateChange,B-function
Tibetan,O
OM/Core/Site/Admin/Application/templates/pages/uninstall.php,B-file
/tmp/puppetdoc.aux,B-file
Posting,I-application
block_log,O
Bokken,B-application
XCP,B-application
actionpack/lib/action_dispatch/http/request.rb,B-file
2BrightSparks,B-vendor
Galette,B-application
buttons,O
SR2,B-update
Shortcut,I-application
CVE-2011-0335,B-cve id
History,O
CVE-2013-2720,B-cve id
Zeacom,B-vendor
libuser,B-application
sctp_getsockopt_assoc_stats,B-function
1.14.1,I-version
Modular,I-application
also,O
quick_outI1_continue,O
10.3.183.43,I-version
traffic,O
"attachments),",O
htmlspecialchars,O
0.8,B-version
rpmio/rpmpgp.c,B-file
28.2.3,B-version
1110,B-version
TCExam,B-application
7.0.0.8,I-version
Resource,I-application
Publisher,B-application
epan/dissectors/packet-clnp.c,B-file
webERPcustomer,O
p_pmns.c,B-file
url,O
5.3.3-7+squeeze4,I-version
2.1.5,B-version
car_id,B-parameter
universities,O
pre-release,B-version
NetSight,B-hardware
0x80B,B-version
id_sp,B-parameter
mailto,O
34,B-version
functions,O
07-60,I-version
Click,B-application
net/ipv4/igmp.c,B-file
backup-restoration,O
accustom,O
poll.php,B-file
2.5.3,B-version
perf_config,B-function
includes/linkchecker.pages.inc,B-file
3.1.3.1789,B-version
0.5.4,I-version
15.0(1)SE,O
lib/ajax_functions.php,B-file
repository/repository_ajax.php,B-file
Auction,I-application
/../../wikka.config.php,B-file
virDomainRevertToSnapshot,O
7010.29.15.58313,B-version
26,B-version
EScript.api,B-application
actionpack/lib/action_view/template/resolver.rb,B-file
Toolbar,O
ctools,B-application
4.1.x,B-version
Uint32Array,O
Home,B-hardware
Filename,O
GetUserName,B-method
Security,B-hardware
actual,O
mountd.c,B-file
bt_sock_recvmsg,B-function
Lead,I-application
2.7.1,I-version
WebProd/pages/pgadmin.asp,B-file
"8.3(2.25),",I-version
CSCth09343,O
6.1.2.01,I-version
1.9.3-p392,I-version
CP6015,I-hardware
samples/wsdl_first_pure_xml,O
CVE-2011-0560,B-cve id
5.6.2,B-version
0476,O
7.20.0,B-version
6.8.0,B-version
Vixie,B-application
Webform,B-application
2-byte,O
DNAME,O
libjasper/jpc/jpc_cs.c,B-file
R12,I-version
ImpressCMS,B-application
java,B-application
reINVITE,O
26.31,I-version
Documents,B-application
2.0.10,I-version
I-Tech,O
multipart/x-mixed-replace,O
0.20,I-version
7.6.4,B-version
upgrade.php,O
tab_emplacement.class.php,O
16.0.912.77,I-version
//.,O
65.50.2011.18049,B-version
Insky,B-application
TC4.0.0,I-version
fix_non_standard_entities,B-function
post/edit/2/p1.html,B-file
3.0.9.release.1,I-version
preview.php,B-update
1.3.0-rc2,B-version
1.6.1.1,I-version
Format,I-application
CVE-2010-0181,B-cve id
1.15.5,I-version
CAP_NET_ADMIN,O
5.3.12,I-version
ES2,B-version
nfsrvd_readdir,B-function
2.3.4-alpha,B-version
2.4.x,B-version
email2image,B-application
2.50RC548,I-version
script_pfad,B-parameter
sGetDefinition,B-function
ECShop,B-application
28.2.2,B-version
0.24.9,I-version
PHPXref,B-application
6.1.0.39,I-version
NSS,O
CVE-2010-4188,B-cve id
11.1.111.10,I-version
E-Business,B-application
domainid,O
Sagem,B-vendor
ImpersonateNamedPipeClient,B-function
Weibo,I-application
4.41,B-version
DRDA,B-application
phpLD,O
data-integrity,O
admin/gallery/index.php,B-file
precios.php3,B-update
CalDAV,O
queue_init,B-function
AlienVault,B-vendor
1.16.1,I-version
pseudo-class,O
CVE-2011-0573,B-cve id
SIOCGIWESSID,O
CF004,I-version
18514,I-version
1.7.10p6,I-version
NetMechanica,B-vendor
ADB,O
nsDOMSVGZoomEvent::mNewScale,B-function
SQLEditorClassic,B-application
9.40,I-version
owned,O
ICQ,B-application
Replication,B-application
focus,O
dispute,O
TS3310,B-hardware
uploadify/get_profile_avatar.php,B-file
11.0.0.86,B-version
Sign-On,B-version
Ethernet,O
action/Despam.py,B-file
descendant,O
2.10.18,I-version
PUT1,O
ChaCha,B-hardware
superblock,O
7.3.0,I-version
admin/bbcodes.php,B-file
3.8.1.2,B-version
scripting,B-relevant_term
FCGI,B-application
0.8.3.5,I-version
filedepot,B-application
21.0.1180.89,I-version
TSCC,O
pointers,O
init_with(),B-method
08-06,B-version
vCard,O
CVE-2012-1923,B-cve id
sendstructures,O
v3,I-version
facility,O
5.1.4,I-version
7.6.5.3,I-version
select_single,B-parameter
3.1,B-version
file/show.cgi,B-file
Rhythmbox,B-application
1.5beta4,B-version
GEGL,B-application
inflight,O
BusinessWorks,I-application
ERDAS,B-application
xArrow,B-application
2.6.34-rc6,I-version
3xxx,B-version
LaunchCompoundFileAnalyzer,O
prep_reprocess_req,B-function
0.73,B-version
diff,O
0.4.8,I-version
cat.php,O
overriding,O
2.3.3,B-version
listings.php,O
5.0.5.0,I-version
8.2.1-TIV-TEMRC821-IF0002,I-version
reportList,B-parameter
Admin/Accounts/EditAccount.aspx,B-file
0.2.0,B-version
Akiva,B-vendor
04.160.3,I-version
2006,B-version
cron.php,O
PIPI,B-application
HASP,I-application
0.7.24,I-version
9.4.5,I-version
vector,O
fs/proc/task_mmu.c,B-file
17.0.963.66,B-version
3.6.0.597,I-version
Iozzo,O
browser/extensions/theme_installed_infobar_delegate.cc,B-file
2.0.4115.1,I-version
Proxy,B-version
_main/index.php,B-file
r53607,I-version
phpgwapi/inc/common_functions_inc.php,B-file
9.3.3,I-version
1.6.9p22,I-version
PortalModuleInstallManager,B-application
tagVARIANT,O
1.1.7pl2,B-version
6.2.1.4,I-version
lookup,O
80,O
nsHTMLSelectElement,B-function
QianXun,B-application
BoutikOne,B-application
JetAudio,B-application
permission-setting,O
1.3.3.pulpv2,I-version
FleetCommander,B-application
CVE-2008-6208,B-cve id
7.14,B-version
L32E,O
bigdecimal.c,B-file
Atlanta,O
3.9.2-5.2.1,I-version
5.6,B-version
CarelDataServer.exe,O
5.3,B-version
CVE-2010-2176,B-cve id
Vulnerability,O
five,O
"3.2(16.1),",I-version
3.4.11.1,I-version
Tree,O
CVE-2010-2581,B-cve id
10.0.648.205,I-version
YATSE,B-application
Chrome,B-application
4.2.x,I-version
bbcodetag,O
drivers/gpu/drm/i915/i915_gem.c,B-file
20100214,B-version
10.0.0-rc1,I-version
R5.1.06.03,B-version
acpmoderate.php,O
sub-component,O
ospf_flood,B-function
CVE-2011-3004,B-cve id
Kerberos,B-application
0.8.7e,B-version
opLYNX,B-application
5.9.13,I-version
/app/view/save_successful.php,B-file
depending,O
5210,O
one-byte,O
5.2.4,I-version
QueryString.php,B-file
AxsLinks,B-application
CVE-2006-0742,B-cve id
FaceTime,O
Skysa,B-application
P07,I-version
files/ajax/newfile.php,B-file
Warehouse,B-application
XNFS.NLM,B-file
PHPIDS,B-application
Unitronics,B-application
CVE-2011-0587,B-cve id
mozilla::dom::indexedDB::IDBKeyRange::cycleCollection::Trace,O
vm19_userlinks,O
4.531.9.1,B-version
0.8.16~exp5ubuntu13.x,B-version
pciej_write,B-function
z,I-application
PMA_linkOrButton,B-function
install,O
"DTSP),",O
arsc_layout_id,B-parameter
Suite,I-application
JCE,O
Convergence,I-application
TFTPGUI,O
templates/javascript/open_calendar.js,B-file
Grizzly,B-version
Fan,B-application
WYSIWYG,B-application
admin/social_settings,O
ColdBookmarks,B-application
11.5,I-version
ESSearchApplication,O
GM45_GS45_PM45_SINIT_51.BIN,I-version
Mawashimono,B-vendor
4.0.0.preview2.1,I-version
NitroSecurity,B-vendor
CVE-2010-3010,B-cve id
server/cookies.php,B-file
12.0,B-application
Indusoft,B-vendor
transaction,O
4.0.10,I-version
Freelancer,B-application
WebShield,O
FastBackServer.exe,O
xnbd_common.c,B-file
CVE-2011-0802,B-cve id
3.4.0.2540,I-version
CVE-2011-2455,B-cve id
GLPI-PROJECT,B-vendor
Photo,B-application
Crypto,B-application
prewikka.conf,B-update
x86_32,B-version
net/core/sock.c,B-file
vodpod-video-gallery/vodpod_gallery_thumbs.php,B-file
oplock,O
RibaFS,I-application
net/iucv/af_iucv.c,B-file
NinjaMonials,B-application
Devices,O
msr_open,B-function
msTmpFile,B-function
DCP-ETSI,O
Developer,I-application
EvoLve,B-application
CVE-2013-2725,B-cve id
Menus,I-application
manageajax.php,O
Excel,B-application
0.9.8f,B-version
WS200,O
code,I-relevant_term
Location,B-application
framework/source/resource/qx/test/part/delay.php,B-file
update,B-update
CVE-2012-1216,B-cve id
Pull,I-application
0.9.30,I-version
Page,I-application
2.6.34.x,B-version
CVE-2010-2188,B-cve id
addressbook/register/reset_password.php,B-file
fs/cifs/transport.c,B-file
XML,B-application
net/bluetooth/hidp/core.c,B-file
8.3.x,B-version
VU#543310,O
protect,O
dissect_xtp_ecntl,B-function
logol,B-application
9.1,I-version
session.php,O
2.8.5,I-version
CVE-2013-1373,B-cve id
tools/polls/add.php,B-file
ima_lsm_rule_init,B-function
3.9.5,I-version
2.6.37.2,B-version
ZCM,O
gtStripSeparate,B-function
1.1.6,B-version
0x74,B-version
755,O
2011-01-17.01,B-version
long,O
epan/dissectors/packet-infiniband.c,B-file
r52401,I-version
CVE-2012-4682,B-cve id
application/libraries/api/MY_Countries_Api_Object.php,B-file
ap_read_request,B-function
generators/plucker/inplug/image.cpp,B-file
3.4.4S,I-version
model/comment.class.php,B-file
decremented,O
NetScaler,B-hardware
Text::wholeText,O
bypass,B-relevant_term
UnEditor,B-application
11.1.0.7,B-version
1.01,B-update
1.5.7,I-version
gnome-subtitles,B-application
ProFTPD,B-application
twelve,O
Things,B-application
127.0.0.1,B-version
nucleus/plugins/NP_gallery.php,B-file
GP,O
7.6.1,I-version
D-Bus,O
6.2.0.3,I-version
AQUIS,B-application
1.89,B-version
FotoSlate,B-application
2.5.6,I-version
Redback,B-application
panel/index_amp.php,B-file
str_pad,B-function
nvSCPAPISvr.exe,O
mount.cifs,O
GetAttachmentServlet,O
M,I-application
Verification,I-application
removeChild,O
mobile/search/index.php,B-file
NET-i,B-application
longimagedata,O
portletKey,B-parameter
show_bug.cgi,O
My,B-application
Wireshark,B-application
3.05.03,B-version
plugins/wiki/cronjobs/create_groups.php,B-file
System.getRunTime.exec,B-method
certificate-extension,O
2.5.6.SEC02,I-version
ElementAnimations::EnsureStyleRuleFor,B-function
3.1.0.rc6,I-version
Tectia,B-application
7.7.2.12,B-version
cs_base_path,B-parameter
listen,O
Desktop,I-os
DoceboLMS,B-application
index.c,B-file
faqid,O
MyASUtil.InstallInfo.RunUserProgram,B-function
Plugin,O
SetSource,B-method
portal);,O
1.4.2_29,B-version
Replication,O
5.5.28,I-version
spice-activex,B-application
Explore,O
Transact,B-application
user/main/update_user,O
SRP-based,O
ReturnUrl,B-parameter
1.35,B-version
V11,B-version
4.2.1-P1,I-version
9.9.3b2,I-version
5.2.1.870.0,I-version
1.9.20,B-version
5.14.3,I-version
GFIG,B-application
group,O
snmpviewer.exe,B-file
ProMan,B-application
e107_plugins/pdf/e107pdf.php,B-file
resolve,O
fuse_notify_inval_entry,B-function
2.7,I-version
referencement/sites_inscription.php,B-file
SpreadSheet,O
1.5.1.1,B-version
KillProcess,B-method
Microsystems,I-hardware
CVE-2011-0702,B-cve id
nsPrintEngine::CommonPrint,B-function
Newsletter,I-application
Ecommercemax,B-vendor
malformed,O
diary,I-application
CVE-2013-1374,B-cve id
QuickTime3GPP.gtx,B-application
11.4.0.1,B-version
sun.awt.SunToolkit,O
TagLib,B-application
HandleMaintenanceCalls,B-function
2.6.25,B-version
6.0.2.9,I-version
6.0.4.53,I-version
Secure,B-application
subpage_register,B-function
11.0.696.65,B-version
10.6.3,I-version
my_admin/admin1_members.php,B-file
1.2.7.76,B-version
WampServer,B-application
Vibe,B-application
Pixelpost,B-application
TLV,O
includes/content/cart.inc.php,B-file
modules/blog/index.php,B-file
1.30,B-version
ESA,O
fully,O
1.2.7a,B-version
CVE-2010-2890,B-cve id
NOS,B-vendor
bb,O
class.sessions_db.inc.php,O
Communications,B-application
4.9.x,I-version
Blackboard,B-vendor
Robo-FTP,B-application
base/pickle.cc,B-file
8.7i,B-version
1.4.10,B-version
1.4.3,I-version
khtml/rendering/render_replaced.cpp,B-file
CVE-2008-3143.5,B-cve id
CVE-2012-4175,B-cve id
1.5.5,I-version
4.5-1.12,I-version
23.0.1271.91,I-version
FileUtils,B-function
CE,B-edition
proxy_connect,B-function
extras/hook-scripts/S30samba-stop.sh,B-file
CVE-2010-1170,B-cve id
gnash,B-application
11.3,B-version
mm/hugetlb.c,B-file
Auktion,I-application
tweetbutton,B-application
drivers/net/pppol2tp.c,B-file
extSetOwner(),B-function
3.3.8.1,I-version
10.5.0,I-version
3.3.1,B-version
1.8.8dev,B-version
RHQ,B-application
9.3.0.0,B-version
framebuffer,O
Texture,O
5120,O
theme/views_lang_switch.theme.inc,B-file
avahi-core/socket.c,B-file
xajax,B-application
0.2.2.x,B-version
2000,B-version
P4000,I-hardware
4.0.2,B-version
Dream,B-application
SNDRV_CTL_IOCTL_ELEM_ADD,O
apps/admin/handlers/versions.php,B-file
CVE-2012-1986,B-cve id
phpScheduleIt,B-application
VisioDocument,O
CVE-2011-0623,B-cve id
jpeg-data.c,B-file
6.8,B-version
VTE,B-application
2.34.1,I-version
Compiere,B-application
SocketMail,B-application
4.5.1.1-IER-FP001,I-version
Zend_Soap,O
app/options-runnow-iframe.php,B-file
7.9.x,B-version
7.10,B-version
ip_cms/modules/standard/content_management/actions.php,B-file
0.2.2.24-alpha,B-update
9.1.4,I-version
net/ipv6/netfilter/ip6_tables.c,B-file
chef-server-api/app/controllers/clients.rb,B-file
AddContextRef,O
assertion,O
1.4.39.2,I-version
checkout2-CYM.php,O
Clinical,I-application
Site2Nite,B-vendor
bstrReplaceText,B-parameter
LFO,O
exception,B-version
11.12,I-version
0.6.2.2,B-version
fetched,O
pam_start,B-function
1.48,I-version
6.0.0-592,I-version
12.1.x,B-version
CVE-2008-2565.1,B-cve id
CSCta65603,O
emailid,O
W-Agora,B-application
Xymon,B-application
Control,I-hardware
2011-B,O
libclamav/mspack.c,B-file
aidDB[],B-parameter
10.0.45.2,I-version
ajax.php,O
Gitolite,O
return_application_language,B-function
correctness,O
3.4.17,I-version
SiteMinder,B-application
Webform,O
ePolicy,B-application
Event,B-application
Aardvark,B-application
Calculation,O
protest,B-application
Dimensions,I-application
Agents,O
CVE-2011-2460,B-cve id
Client/frmViewOverviewReport.aspx,B-file
counterIncrement,O
net/bluetooth/sco.c,B-file
LibTIFF,B-application
Bloxx,B-vendor
11.1.115.58,I-version
libbase/GnashImage.h,B-file
4.2.1,B-version
KPI,B-application
MR9,B-update
connect,O
main/event.c,B-file
setup/config.php,B-file
CVE-2012-2032,B-cve id
folsom-1,B-version
CSCtq06065,O
126,O
libtransmission/magnet.c,B-file
7.0.0.12,I-version
database-level,O
SyncBack,B-application
1.11.23,B-version
ldapagnt_eval,B-function
Win32k,O
supports,O
server/action.py,B-file
jp.gr.java_conf.ofnhwx.callconfirm,O
3.0.17,I-version
Libinfo,O
AIM,B-application
11.2.202.238,I-version
Phenotype,B-application
FlickWnn,B-application
7.30.0,I-version
wiretap/snoop.c,B-file
4.73,B-version
Website,B-application
FactoryLink,I-application
X,I-edition
ServerHandshaker.java,O
BowserWriteErrorLogEntry,B-function
CSCtg48206,O
onlyforuser,O
1.0b1,B-version
1800-24G,B-version
11.3.300.257,I-version
1.0.13,I-version
WB/Default.asp,B-file
created,O
app,O
HX_FLV_META_AMF_TYPE_ARRAY,O
Realestate,I-application
3.0.13,I-version
win32k.sys,O
0.092,B-version
fs/partitions/osf.c,B-file
libspice,O
